UTCTIME,LOCAL_ANGLE,REMOTE_ANGLE,FREQ,PHASE,SYNC,LATENCY,FACE_DETECTED
1531302905100,-4.097053856390415,0,0.25778511033037477,2.665833161452014,0.26,0,1
1531302905125,-4.062617427776463,0,0.25778511033037477,2.672252010704018,0.26,0,1
1531302905146,-4.029637296696251,0,0.25778511033037477,2.678670859941017,0.26,0,1
1531302905168,-3.999295576102456,0,0.25778511033037477,2.684857702597709,0.26,0,1
1531302905190,-3.9741039361786172,0,0.25778511033037477,2.69135388737148,0.26,0,1
1531302905212,-4.060950690402457,0,0.25778511033037477,2.6976180655649444,0.26,0,1
1531302905241,-4.14084970428839,0,0.25778511033037477,2.7049133841736817,0.26,0,1
1531302905263,-4.118084240468497,0,0.25778511033037477,2.7110486698058587,0.26,0,1
1531302905285,-4.117367135046856,0,0.25778511033037477,2.716874613305951,0.26,0,1
1531302905307,-4.075393873548643,0,0.25778511033037477,2.7230614559476383,0.26,0,1
1531302905330,-4.036778472970287,0,0.25778511033037477,2.7295576407214095,0.26,0,1
1531302905352,-4.077199551671088,0,0.25778511033037477,2.735125799113933,0.26,0,1
1531302905376,-4.114386944075825,0,0.25778511033037477,2.740693957491451,0.26,0,1
1531302905398,-4.054983313247011,0,0.25778511033037477,2.7462363373717165,0.26,0,1
1531302905421,-4.042307392688781,0,0.25778511033037477,2.7519076097982644,0.26,0,1
1531302905443,-4.03064554577521,0,0.25778511033037477,2.7593060424560316,0.26,0,1
1531302905466,-4.019916646614725,0,0.25778511033037477,2.765054650419352,0.26,0,1
1531302905489,-4.016014275778486,0,0.25778511033037477,2.770751701358157,0.26,0,1
1531302905512,-4.002558582752625,0,0.25778511033037477,2.7764487522969628,0.26,0,1
1531302905534,-3.9901793451688334,0,0.25778511033037477,2.782274695797055,0.26,0,1
1531302905556,-3.9537270138552194,0,0.25778511033037477,2.7881006392821432,0.26,0,1
1531302905579,-3.8968978399366425,0,0.25778511033037477,2.7941843678898053,0.26,0,1
1531302905602,-3.8973619735199203,0,0.25778511033037477,2.799958754365383,0.26,0,1
1531302905623,-3.897788976416536,0,0.25778511033037477,2.805681583801441,0.26,0,1
1531302905649,-3.8229020728371066,0,0.25778511033037477,2.8114559702770188,0.26,0,1
1531302905672,-3.838853541540158,0,0.25778511033037477,2.8172303567525963,0.26,0,1
1531302905694,-3.853528892746965,0,0.25778511033037477,2.823236749823486,0.26,0,1
1531302905715,-3.8736463164527937,0,0.25778511033037477,2.8292689214066336,0.26,0,1
1531302905738,-3.9001554644364314,0,0.25778511033037477,2.8349401938331815,0.26,0,1
1531302905761,-3.924543880581378,0,0.25778511033037477,2.8406630232842445,0.26,0,1
1531302905783,-3.9270955188658516,0,0.25778511033037477,2.846488966769332,0.26,0,1
1531302905805,-3.9176084198800667,0,0.25778511033037477,2.8522891317571673,0.26,0,1
1531302905826,-3.9088802888131444,0,0.25778511033037477,2.857960404183715,0.26,0,1
1531302905849,-3.940176638375546,0,0.25778511033037477,2.8645339244942587,0.26,0,1
1531302905871,-3.9236090119298415,0,0.25778511033037477,2.8703598679943516,0.26,0,1
1531302905893,-3.9083667955997936,0,0.25778511033037477,2.876108475957672,0.26,0,1
1531302905915,-3.902543731634455,0,0.25778511033037477,2.8817024128474475,0.26,0,1
1531302905937,-3.8620486503671776,0,0.25778511033037477,2.887528356332535,0.26,0,1
1531302905960,-3.8247931756012825,0,0.25778511033037477,2.8934831923939153,0.26,0,1
1531302905982,-3.8142100339626372,0,0.25778511033037477,2.8991802433177156,0.26,0,1
1531302906004,-3.787325535741318,0,0.25778511033037477,2.904748401710239,0.26,0,1
1531302906026,-3.7625917973777043,0,0.25778511033037477,2.910393895624529,0.26,0,1
1531302906049,-3.7279837438841117,0,0.25778511033037477,2.91603938953882,0.26,0,1
1531302906070,-3.676837020439675,0,0.25778511033037477,2.92178799750214,0.26,0,1
1531302906092,-3.6297820348707934,0,0.25778511033037477,2.9276397194994854,0.26,0,1
1531302906113,-3.616459477625411,0,0.25778511033037477,2.9333367704382907,0.26,0,1
1531302906134,-3.6573620919900205,0,0.25778511033037477,2.9389822643525814,0.26,0,1
